company,written_premium_(b),market_share,earned_premium_(b),incurred_loss_(b),loss_ratio,year
Aspen Amer Ins Co - 43460," 1,950,391 ",0.2077%," 1,927,345 "," 1,571,776 ",81.55%,2018
Atlantic Specialty Ins Co - 27154," 467,839 ",0.0498%," 441,008 "," 92,430 ",20.96%,2018
AXA Ins Co - 33022," 3,919,004 ",0.4173%," 3,953,362 "," 182,562 ",4.62%,2018
Axis Ins Co - 37273," 657,369 ",0.0700%," 762,807 "," 3,883,516 ",509.11%,2018
AXIS Reins Co - 20370," 3,021 ",0.0003%," 2,577 "," (2,141)",-83.08%,2018
Berkley Natl Ins Co - 38911," 75,248 ",0.0080%," 72,650 "," 5,812,439 ",8000.60%,2018
Berkley Regional Ins Co - 29580," 170,895 ",0.0182%," 148,411 "," 74,505 ",50.20%,2018
Berkshire Hathaway Specialty Ins Co - 22276," 2,064 ",0.0002%," 1,992 "," (1,695)",-85.09%,2018
BITCO Gen Ins Corp - 20095," 1,348 ",0.0001%, 618 , 300 ,48.54%,2018
BITCO Natl Ins Co - 20109, 330 ,0.0000%, 151 , -   ,0.00%,2018
California Capital Ins Co - 13544," 15,575,924 ",1.6586%," 15,267,634 "," 34,991,400 ",229.19%,2018
California Cas Ind Exch - 20117," 199,700 ",0.0213%," 193,976 "," 228,241 ",117.66%,2018
California Mut Ins Co - 27480," 159,417 ",0.0170%," 164,150 "," 51,027 ",31.09%,2018
Capitol Ind Corp - 10472," 2,307 ",0.0002%," 11,519 ", (992),-8.61%,2018
Catlin Ins Co - 19518," 829,958 ",0.0884%," 198,645 "," 119,982 ",60.40%,2018
Century Natl Ins Co - 26905," 5,260,339 ",0.5601%," 5,460,598 "," 6,443,035 ",117.99%,2018
Church Mut Ins Co - 18767," 145,300 ",0.0155%," 130,487 "," 336,292 ",257.72%,2018
Citizens Ins Co Of Amer - 31534," 494,260 ",0.0526%," 536,323 "," 499,532 ",93.14%,2018
Civic Prop & Cas Co  - 10315," 2,485,094 ",0.2646%," 2,381,770 "," 589,414 ",24.75%,2018
Civil Serv Employees Ins Co - 10693," 3,812,187 ",0.4059%," 3,942,807 "," 922,843 ",23.41%,2018
Coastal Select Ins Co - 10887," 75,010 ",0.0080%," 78,506 "," 362,218 ",461.39%,2018
Constitution Ins Co - 32190," 135,857 ",0.0145%," 35,269 "," 13,250 ",37.57%,2018
Continental Cas Co - 20443," 8,013,446 ",0.8533%," 7,389,590 "," 35,514,297 ",480.60%,2018
Continental Ins Co - 35289," 215,721 ",0.0230%," 257,859 "," 475,884 ",184.55%,2018
Crestbrook Ins Co - 18961," 148,467 ",0.0158%," 110,085 "," 107,360 ",97.52%,2018
Crusader Ins Co - 14010," 99,286 ",0.0106%," 44,265 "," 3,199 ",7.23%,2018
CSAA Fire & Cas Ins Co - 10921," 56,061,280 ",5.9696%," 54,484,893 "," 94,460,309 ",173.37%,2018
CSAA Ins Exch - 15539," 2,424,035 ",0.2581%," 2,336,182 "," 2,990,626 ",128.01%,2018
CSE Safeguard Ins Co - 18953," 33,326,911 ",3.5488%," 30,521,109 "," 33,592,227 ",110.06%,2018
Diamond State Ins Co - 42048," 23,869 ",0.0025%," 22,783 ", (163),-0.72%,2018
Dorinco Reins Co - 33499," 1,112,906 ",0.1185%," 1,152,251 ", -   ,0.00%,2018
Eagle W Ins Co - 12890," 648,608 ",0.0691%," 680,320 "," 684,386 ",100.60%,2018
Electric Ins Co - 21261," 22,578 ",0.0024%," 26,710 ", -   ,0.00%,2018
Empire Fire & Marine Ins Co - 21326," 9,845 ",0.0010%," 9,830 ", (514),-5.23%,2018
Employers Ins Co of Wausau - 21458," 3,064,880 ",0.3264%," 2,956,858 "," 4,445,005 ",150.33%,2018
Employers Mut Cas Co - 21415," 1,365,626 ",0.1454%," 1,322,545 "," 703,504 ",53.19%,2018
Encompass Ins Co - 10358," 5,167,341 ",0.5502%," 5,334,364 "," 5,477,699 ",102.69%,2018
Everest Natl Ins Co  - 10120," 31,875 ",0.0034%," 121,336 "," 15,199 ",12.53%,2018
Exact Prop & Cas Co Inc - 10318," 1,712,617 ",0.1824%," 1,717,648 "," 1,052,629 ",61.28%,2018
Factory Mut Ins Co - 21482," 22,530,555 ",2.3991%," 20,971,964 "," 378,030,993 ",1802.55%,2018
Farmers Ins Exch - 21652," 9,731,063 ",1.0362%," 10,103,229 "," 6,151,234 ",60.88%,2018
Farmland Mut Ins Co - 13838," 27,633 ",0.0029%," 29,382 "," 30,649 ",104.31%,2018
Federal Ins Co - 20281," 1,613,608 ",0.1718%," 1,665,202 "," 1,499,274 ",90.04%,2018
Federated Mut Ins Co - 13935," 3,681,482 ",0.3920%," 3,568,324 "," 2,787,685 ",78.12%,2018
Federated Rural Electric Ins Exch - 11118," 42,578 ",0.0045%," 42,318 ", 355 ,0.84%,2018
Federated Serv Ins Co - 28304," 772,910 ",0.0823%," 699,061 "," 43,130 ",6.17%,2018
Fidelity & Deposit Co Of MD  - 39306," 7,698,963 ",0.8198%," 7,549,177 "," 7,573,766 ",100.33%,2018
Financial Pacific Ins Co - 31453," 972,450 ",0.1035%," 1,069,630 "," 356,048 ",33.29%,2018
Fire Ins Exch - 21660," 56,975,488 ",6.0669%," 59,338,819 "," 36,455,871 ",61.44%,2018
Firemans Fund Ins Co - 21873," 533,047 ",0.0568%," 720,547 "," 473,079 ",65.66%,2018
First Amer Prop & Cas Ins Co - 37710," 111,321 ",0.0119%," 111,321 "," 33,493 ",30.09%,2018
First Amer Specilaty Ins Co - 34525," 24,694,420 ",2.6295%," 24,637,282 "," 15,322,188 ",62.19%,2018
First Natl Ins Co Of Amer - 24724," 19,747 ",0.0021%," 26,570 ", (894),-3.36%,2018
Florists Mut Ins Co - 13978," 1,176,758 ",0.1253%," 820,472 "," 375,061 ",45.71%,2018
Foremost Ins Co Grand Rapids MI - 11185," 35,579,249 ",3.7886%," 33,472,627 "," 58,829,606 ",175.75%,2018
Freedom Specialty Ins Co - 22209," 3,522 ",0.0004%," 4,755 "," 2,892 ",60.82%,2018
Garrison Prop & Cas Ins Co - 21253," 2,077,972 ",0.2213%," 2,017,823 "," 1,004,114 ",49.76%,2018
General Cas Co Of WI - 24414," 202,575 ",0.0216%," 179,729 "," (951,570)",-529.45%,2018
General Ins Co Of Amer - 24732," 16,795 ",0.0018%," 20,276 "," 37,873 ",186.79%,2018
Geovera Ins Co - 10799," 554,332 ",0.0590%," 559,965 "," 2,607,698 ",465.69%,2018
Geovera Specialty Ins Co - 10182, 116 ,0.0000%, 169 , 210 ,124.26%,2018
Golden Bear Ins Co - 39861," 1,980,864 ",0.2109%," 1,595,246 "," 668,440 ",41.90%,2018
Golden Eagle Ins Corp - 10836, 660 ,0.0001%, 714 , -   ,0.00%,2018
Grange Ins Assn - 22101," 599,164 ",0.0638%," 653,279 "," 717,759 ",109.87%,2018
Granite State Ins Co - 23809," 780,403 ",0.0831%," 705,264 "," (22,931)",-3.25%,2018
Graphic Arts Mut Ins Co - 25984, 238 ,0.0000%, 129 , -   ,0.00%,2018
Great Amer Alliance Ins Co - 26832, 766 ,0.0001%," 1,741 ", (91),-5.23%,2018
Great Amer Assur Co - 26344," 69,264 ",0.0074%," 58,197 "," (92,506)",-158.95%,2018
Great Amer Ins Co - 16691," 366,304 ",0.0390%," 275,996 "," (17,139)",-6.21%,2018
Great Amer Ins Co of NY - 22136," 1,025,080 ",0.1092%," 1,289,400 "," 1,234,798 ",95.77%,2018
Great Divide Ins Co - 25224," 2,561 ",0.0003%," 3,794 ", 83 ,2.19%,2018
Great Midwest Ins Co - 18694, 589 ,0.0001%, 71 , 35 ,49.30%,2018
Great Northern Ins Co - 20303," 98,094 ",0.0104%," 76,226 "," 61,912 ",81.22%,2018
Greenwich Ins Co - 22322," 924,243 ",0.0984%," 958,631 "," 1,299,350 ",135.54%,2018
Guideone Mut Ins Co - 15032," 27,621 ",0.0029%," 30,918 "," 127,662 ",412.91%,2018
Guideone Specialty Mut Ins Co - 14559," 244,726 ",0.0261%," 253,245 "," 864,689 ",341.44%,2018
Hanover Amer Ins Co - 36064," 259,469 ",0.0276%," 229,164 "," 124,366 ",54.27%,2018
Hanover Ins Co - 22292," 593,409 ",0.0632%," 548,776 "," 470,913 ",85.81%,2018
Harco Natl Ins Co - 26433," 3,353,558 ",0.3571%," 1,863,086 "," 1,465,291 ",78.65%,2018
Harleysville Ins Co - 23582," 2,717 ",0.0003%," 2,097 "," 2,093 ",99.81%,2018
Hartford Cas Ins Co - 29424," 102,937 ",0.0110%," 124,518 ", (862),-0.69%,2018
Hartford Fire Ins Co - 19682," 4,581,196 ",0.4878%," 4,191,687 "," 3,232,915 ",77.13%,2018
Hartford Underwriters Ins Co - 30104," 1,151,763 ",0.1226%," 1,239,599 "," 2,081,014 ",167.88%,2018
HDI Global Ins Co - 41343," 10,327,188 ",1.0997%," 8,891,783 "," (3,358,473)",-37.77%,2018
Hiscox Ins Co Inc - 10200," 1,233,764 ",0.1314%," 1,146,535 "," 411,182 ",35.86%,2018
Horace Mann Ins Co - 22578," 578,235 ",0.0616%," 582,604 "," 8,356,990 ",1434.42%,2018
Horace Mann Prop & Cas Ins Co - 22756," 125,030 ",0.0133%," 123,045 "," 1,063,829 ",864.59%,2018
Hudson Ins Co - 25054," 32,563 ",0.0035%," 31,756 "," 5,693 ",17.93%,2018
Hyundai Marine & Fire Ins Co Ltd - 10048," 213,685 ",0.0228%," 129,146 "," 18,530 ",14.35%,2018
Imperium Ins Co - 35408," 11,611 ",0.0012%," 12,664 ", -   ,0.00%,2018
Indemnity Ins Co Of North Amer - 43575," 35,235 ",0.0038%," 35,340 "," 5,502 ",15.57%,2018
Insurance Co of N Amer - 22713," 1,371,417 ",0.1460%," 1,136,489 "," 1,047,826 ",92.20%,2018
Insurance Co Of The State Of PA - 19429," 14,170,612 ",1.5089%," 14,321,575 "," (1,241,460)",-8.67%,2018
Integon Natl Ins Co - 29742," 2,509,866 ",0.2673%," 2,259,732 "," 2,452,474 ",108.53%,2018
Interins Exch Of The Automobile Club - 15598," 20,703,155 ",2.2045%," 21,202,623 "," 11,264,649 ",53.13%,2018
Kemper Independence Ins Co - 10914," 4,425,228 ",0.4712%," 4,453,136 "," 5,104,847 ",114.63%,2018
Kookmin Best Ins Co Ltd - 37800," 51,424 ",0.0055%," 58,419 "," 69,998 ",119.82%,2018
Liberty Mut Fire Ins Co - 23035," 19,967,703 ",2.1262%," 19,403,763 "," 12,160,868 ",62.67%,2018
Liberty Mut Ins Co - 23043," 5,197,203 ",0.5534%," 5,087,115 "," 2,164,781 ",42.55%,2018
Manufacturers Alliance Ins Co - 36897," 1,742 ",0.0002%," 2,356 ", (396),-16.81%,2018
Mapfre Ins Co - 23876," 165,375 ",0.0176%," 179,540 "," 256,305 ",142.76%,2018
Markel Amer Ins Co - 28932," 33,367 ",0.0036%," 9,361 "," 26,889 ",287.24%,2018
Markel Ins Co - 38970," 15,358 ",0.0016%," 16,961 "," 3,102 ",18.29%,2018
Massachusetts Bay Ins Co - 22306," 836,188 ",0.0890%," 698,328 "," 394,296 ",56.46%,2018
Mercury Cas Co - 11908," 15,548,198 ",1.6556%," 15,157,725 "," 14,694,042 ",96.94%,2018
Metropolitan Drt Prop & Cas Ins Co - 25321," 137,017 ",0.0146%," 127,413 "," 133,502 ",104.78%,2018
Mid Century Ins Co - 21687," 3,177 ",0.0003%," 3,591 ", (137),-3.82%,2018
Middlesex Ins Co - 23434," 141,859 ",0.0151%," 36,189 "," 25,181 ",69.58%,2018
Mitsui Sumitomo Ins Co of Amer - 20362," 487,553 ",0.0519%," 454,888 "," 182,125 ",40.04%,2018
Mitsui Sumitomo Ins USA Inc - 22551," 70,064 ",0.0075%," 54,660 "," 9,625 ",17.61%,2018
Monterey Ins Co - 23540," 44,999 ",0.0048%," 44,448 "," 57,172 ",128.63%,2018
National Amer Ins Co - 23663, 53 ,0.0000%, 16 , -   ,0.00%,2018
National Cas Co - 11991, 141 ,0.0000%, 87 , 84 ,96.55%,2018
National Fire Ins Co Of Hartford - 20478," 14,270 ",0.0015%," 21,964 "," 240,141 ",1093.34%,2018
National Interstate Ins Co - 32620," 7,234 ",0.0008%," 7,306 "," 1,820 ",24.91%,2018
National Union Fire Ins Co Of Pitts - 19445," 5,283,016 ",0.5626%," 5,878,923 "," (470,808)",-8.01%,2018
Nationwide Agribusiness Ins Co - 28223," 1,850,760 ",0.1971%," 2,053,202 "," 1,230,596 ",59.94%,2018
Nationwide Ins Co Of Amer - 25453," 3,667,344 ",0.3905%," 3,686,712 "," 1,587,037 ",43.05%,2018
Nationwide Mut Fire Ins Co - 23779," 226,898 ",0.0242%," 233,227 "," (102,422)",-43.92%,2018
Nationwide Mut Ins Co - 23787," 6,577,395 ",0.7004%," 6,488,412 "," 14,192,744 ",218.74%,2018
Neighborhood Spirit Prop & Cas Co - 10317," 8,493,742 ",0.9044%," 8,397,785 "," 2,361,957 ",28.13%,2018
Netherlands Ins Co The - 24171," 3,497 ",0.0004%," 4,620 "," 4,181,176 ",90501.65%,2018
New Hampshire Ins Co - 23841," 92,712 ",0.0099%," 86,687 "," 17,699 ",20.42%,2018
New York Marine & Gen Ins Co - 16608," 4,138,151 ",0.4406%," 1,279,551 "," 348,844 ",27.26%,2018
North Amer Elite Ins Co - 29700," 2,944,834 ",0.3136%," 2,478,559 "," 521,855 ",21.05%,2018
North Amer Specialty Ins Co - 29874," 75,547 ",0.0080%," 65,965 "," 6,910 ",10.48%,2018
North River Ins Co - 21105, 164 ,0.0000%, 164 , 44 ,26.83%,2018
Nova Cas Co - 42552," 158,346 ",0.0169%," 151,400 "," 69,289 ",45.77%,2018
Ohio Cas Ins Co - 24074," 595,910 ",0.0635%," 718,848 "," (723,932)",-100.71%,2018
Ohio Security Ins Co - 24082," 2,416,533 ",0.2573%," 2,187,933 "," 843,676 ",38.56%,2018
Oregon Mut Ins Co - 14907," 1,167,123 ",0.1243%," 1,218,696 "," 1,866,989 ",153.20%,2018
Pacific Employers Ins Co - 22748," 2,719,707 ",0.2896%," 2,301,196 "," (130,021)",-5.65%,2018
Pacific Ind Co - 20346," 7,306 ",0.0008%," 7,050 "," 6,324 ",89.70%,2018
Pacific Prop & Cas Co - 11048," 203,527 ",0.0217%," 194,532 "," 95,023 ",48.85%,2018
Peerless Ind Ins Co - 18333," 1,445 ",0.0002%," 3,357 "," 14,365 ",427.91%,2018
Peerless Ins Co - 24198," 4,161,319 ",0.4431%," 4,250,840 "," 4,750,251 ",111.75%,2018
Penn Amer Ins Co - 32859," 5,563 ",0.0006%," 7,066 ", (569),-8.05%,2018
Pennsylvania Lumbermens Mut Ins - 14974," 2,924,852 ",0.3114%," 2,155,021 "," 2,781,805 ",129.08%,2018
Pennsylvania Manufacturers Assoc Ins - 12262," 45,011 ",0.0048%," 24,327 "," 14,264 ",58.63%,2018
Philadelphia Ind Ins Co - 18058," 10,397 ",0.0011%," 14,931 ", 9 ,0.06%,2018
QBE Ins Corp - 39217," 837,563 ",0.0892%," 842,969 "," 1,469,136 ",174.28%,2018
Regent Ins Co - 24449," 4,026 ",0.0004%," 3,688 ", 151 ,4.09%,2018
Residence Mut Ins Co - 15776," 1,997,395 ",0.2127%," 2,080,606 "," 1,266,972 ",60.89%,2018
Riverport Ins Co - 36684," 4,826 ",0.0005%," 5,725 "," 5,882 ",102.74%,2018
RLI Ins Co - 13056, 267 ,0.0000%, 33 , -   ,0.00%,2018
RSUI Ind Co - 22314," 1,348,836 ",0.1436%," 1,296,105 "," 69,104 ",5.33%,2018
Safeco Ins Co Of Amer - 24740," 54,714,398 ",5.8262%," 55,201,062 "," 49,809,369 ",90.23%,2018
Scottsdale Ind Co - 15580," 184,208 ",0.0196%," 142,192 "," 79,397 ",55.84%,2018
Security Natl Ins Co - 19879," 175,415 ",0.0187%," 175,216 "," 431,860 ",246.47%,2018
Seneca Ins Co Inc - 10936," 1,214,301 ",0.1293%," 1,010,490 "," (73,551)",-7.28%,2018
Sentry Ins A Mut Co - 24988," 1,663,140 ",0.1771%," 1,947,875 "," 2,412,929 ",123.87%,2018
Sentry Select Ins Co - 21180," 686,606 ",0.0731%," 854,992 "," 5,839,750 ",683.02%,2018
Sequoia Ins Co - 22985," 117,932 ",0.0126%," 117,932 "," 88,627 ",75.15%,2018
Sirius Amer Ins Co - 38776," 19,401 ",0.0021%," 19,401 "," (2,004)",-10.33%,2018
Sompo Japan Ins Co of Amer - 11126," 803,023 ",0.0855%," 740,336 "," (587,863)",-79.40%,2018
St Paul Fire & Marine Ins Co - 24767," 260,870 ",0.0278%," 233,309 "," 586,069 ",251.20%,2018
St Paul Guardian Ins Co - 24775, 205 ,0.0000%, 421 ," (1,509)",-358.43%,2018
Standard Fire Ins Co - 19070," 1,871,137 ",0.1992%," 1,829,610 "," 7,317,862 ",399.97%,2018
Standard Guar Ins Co - 42986," 98,382 ",0.0105%," 95,070 "," 43,756 ",46.03%,2018
Star Ins Co - 18023," 4,771 ",0.0005%," 4,312 ", 16 ,0.37%,2018
Starnet Ins Co - 40045," 101,905 ",0.0109%," 106,048 "," 3,416 ",3.22%,2018
Starr Ind & Liab Co - 38318," 11,557 ",0.0012%," 17,222 "," 17,287 ",100.38%,2018
State Farm Gen Ins Co - 25151," 9,866,958 ",1.0507%," 9,266,052 "," 11,395,145 ",122.98%,2018
Stillwater Ins Co - 25180," 4,037,892 ",0.4300%," 3,985,104 "," 1,438,788 ",36.10%,2018
Sutter Ins Co - 32107," 151,489 ",0.0161%," 160,568 "," 63,466 ",39.53%,2018
Technology Ins Co Inc - 42376," 9,926 ",0.0011%," 13,737 "," (1,217)",-8.86%,2018
The Cincinnati Cas Co - 28665, 102 ,0.0000%, 78 , -   ,0.00%,2018
The Cincinnati Ind Co - 23280, 50 ,0.0000%," 1,150 ", -   ,0.00%,2018
The Cincinnati Ins Co - 10677," 65,116 ",0.0069%," 59,450 "," 13,704 ",23.05%,2018
Tokio Marine Amer Ins Co - 10945," 8,590,838 ",0.9148%," 7,347,767 "," 125,651 ",1.71%,2018
Topa Ins Co - 18031," 2,468,558 ",0.2629%," 2,057,072 "," 3,372,954 ",163.97%,2018
Transguard Ins Co Of Amer Inc - 28886," 86,365 ",0.0092%," 76,798 "," 13,172 ",17.15%,2018
Transportation Ins Co - 20494," 30,680 ",0.0033%," 24,280 "," 120,140 ",494.81%,2018
Travelers Cas & Surety Co - 19038," 1,213,494 ",0.1292%," 1,202,149 "," 4,811,345 ",400.23%,2018
Travelers Ind Co Of CT - 25682," 629,170 ",0.0670%," 628,542 "," (632,875)",-100.69%,2018
Travelers Prop Cas Co Of Amer - 25674," 44,956,431 ",4.7871%," 42,767,659 "," 226,399,566 ",529.37%,2018
Travelers Prop Cas Ins Co - 36161," 14,526,126 ",1.5468%," 13,833,046 "," 25,537,796 ",184.61%,2018
Truck Ins Exch - 21709," 816,456 ",0.0869%," 777,143 "," 870,567 ",112.02%,2018
UFG Specialty Ins Co - 19526," 1,184 ",0.0001%," 16,038 ", (569),-3.55%,2018
Unigard Ins Co - 25747," 2,033,077 ",0.2165%," 2,224,651 "," (43,942,760)",-1975.27%,2018
United Cas Ins Co Of Amer - 11142," 568,022 ",0.0605%," 567,250 "," 21,305 ",3.76%,2018
United Fire & Cas Co - 13021," 2,508,714 ",0.2671%," 2,634,909 "," 13,261,970 ",503.32%,2018
United Serv Automobile Assn - 25941," 13,452,085 ",1.4324%," 13,320,076 "," 11,662,447 ",87.56%,2018
United States Fire Ins Co - 21113," 94,629 ",0.0101%," 111,979 "," (2,061,604)",-1841.06%,2018
United States Liab Ins Co - 25895," 7,944,156 ",0.8459%," 7,503,625 "," 3,122,358 ",41.61%,2018
Universal N Amer Ins Co - 10759," 13,927,319 ",1.4830%," 14,150,232 "," 7,797,762 ",55.11%,2018
Universal Underwriters Ins Co - 41181," 1,249 ",0.0001%," 15,974 ", (871),-5.45%,2018
USAA Cas Ins Co - 25968," 8,855,740 ",0.9430%," 9,031,598 "," 13,380,387 ",148.15%,2018
USAA Gen Ind Co - 18600," 1,989,555 ",0.2119%," 1,954,965 "," 1,925,159 ",98.48%,2018
Utica Mut Ins Co - 25976, 691 ,0.0001%, 679 , 142 ,20.91%,2018
Valley Forge Ins Co - 20508," 34,312 ",0.0037%," 34,606 "," 134,957 ",389.98%,2018
Vanliner Ins Co - 21172," 2,193 ",0.0002%," 2,076 ", 23 ,1.11%,2018
Verlan Fire Ins Co MD - 10815," 3,929,629 ",0.4184%," 3,870,022 "," (152,807)",-3.95%,2018
Vigilant Ins Co - 20397," 64,049 ",0.0068%," 63,940 "," 57,516 ",89.95%,2018
Wawanesa Gen Ins Co - 10683," 145,925 ",0.0155%," 134,041 "," 170,409 ",127.13%,2018
Wesco Ins Co - 25011," 23,212 ",0.0025%," 33,808 "," 3,414,623 ",10100.04%,2018
West Amer Ins Co - 44393," 1,909,021 ",0.2033%," 1,854,335 "," 3,415,983 ",184.22%,2018
Westchester Fire Ins Co - 10030," 5,697,090 ",0.6066%," 5,677,974 "," 7,125,118 ",125.49%,2018
Western Mut Ins Co - 13625," 66,882 ",0.0071%," 68,825 "," 23,819 ",34.61%,2018
Westport Ins Corp - 39845," 5,124,346 ",0.5457%," 6,082,457 "," 25,641,411 ",421.56%,2018
XL Ins Amer Inc - 24554," 14,814,370 ",1.5775%," 13,245,082 "," 952,589 ",7.19%,2018
Zenith Ins Co - 13269," 6,870,528 ",0.7316%," 6,616,457 "," 1,824,687 ",27.58%,2018
Zurich Amer Ins Co - 16535," 37,043,671 ",3.9445%," 34,010,932 "," 61,392,266 ",180.51%,2018
Zurich Amer Ins Co Of IL - 27855," 8,276 ",0.0009%," 12,052 "," 2,004 ",16.63%,2018
Ace Amer Ins Co - 22667," 326,781 ",0.0354%," 315,103 "," (12,483)",-3.96%,2017
Aegis Security Ins Co - 33898," 519,748 ",0.0563%," 204,879 "," 151,538 ",73.96%,2017
Affiliated Fm Ins Co - 10014," 31,126,743 ",3.3713%," 30,023,468 "," 15,194,413 ",50.61%,2017
Alaska Natl Ins Co - 38733," 7,351 ",0.0008%," 6,156 ", 459 ,7.46%,2017
Allianz Global Risks US Ins Co - 35300," 17,900,444 ",1.9387%," 17,139,636 "," 731,555 ",4.27%,2017
Allianz Underwriters Ins Co - 36420," 63,840 ",0.0069%," 64,284 "," 20,569 ",32.00%,2017
Allied Prop & Cas Ins Co - 42579," 10,446,226 ",1.1314%," 11,419,162 "," 27,516,358 ",240.97%,2017
Allied World Assur Co US Inc - 19489," 276,550 ",0.0300%," 284,639 "," (261,551)",-91.89%,2017
Allstate Ins Co - 19232," 8,701 ",0.0009%," 7,944 "," (6,399)",-80.55%,2017
Amco Ins Co - 19100," 35,797,080 ",3.8771%," 38,609,083 "," 50,082,630 ",129.72%,2017
American Alt Ins Corp - 19720," 593,159 ",0.0642%," 495,320 "," 35,942 ",7.26%,2017
American Automobile Ins Co - 21849," 586,226 ",0.0635%," 73,278 "," (68,378)",-93.31%,2017
American Cas Co Of Reading PA - 20427," 41,400 ",0.0045%," 46,456 "," 1,489 ",3.21%,2017
American Economy Ins Co - 19690," 18,324 ",0.0020%," 66,226 "," (16,570)",-25.02%,2017
American Family Home Ins Co - 23450," 29,026 ",0.0031%," 12,101 "," 18,407 ",152.11%,2017
American Fire & Cas Co - 24066," 18,260 ",0.0020%," 14,313 ", 456 ,3.19%,2017
American Guar & Liab Ins - 26247," 8,794,806 ",0.9525%," 10,005,326 "," 19,162,833 ",191.53%,2017
American Home Assur Co - 19380," 33,861,428 ",3.6674%," 24,904,238 "," 5,436,189 ",21.83%,2017
American Modern Home Ins Co - 23469," 15,881,385 ",1.7201%," 15,869,287 "," 13,834,600 ",87.18%,2017
American Natl Prop & Cas Co - 28401," 14,130 ",0.0015%," 6,776 "," 2,408 ",35.54%,2017
American Reliable Ins Co - 19615," 1,242,045 ",0.1345%," 1,250,821 "," 1,043,037 ",83.39%,2017
American Security Ins Co - 42978," 43,977,605 ",4.7631%," 56,314,358 "," 8,917,054 ",15.83%,2017
American States Ins Co - 19704," 35,067 ",0.0038%," 70,530 "," 50,390 ",71.44%,2017
American Zurich Ins Co - 40142," 15,689 ",0.0017%," 37,636 "," (2,989)",-7.94%,2017
Amerisure Mut Ins Co - 23396," 4,372 ",0.0005%," 4,052 ", (325),-8.02%,2017
Amica Mut Ins Co - 19976," 890,897 ",0.0965%," 873,633 "," 1,227,142 ",140.46%,2017
Arch Ins Co - 11150," 179,502 ",0.0194%," 196,042 "," (148,643)",-75.82%,2017
Armed Forces Ins Exch - 41459," 297,699 ",0.0322%," 308,975 "," 1,228,454 ",397.59%,2017
ASI Select Ins Corp - 14042," 434,962 ",0.0471%," 207,915 "," 1,823,805 ",877.19%,2017
Aspen Amer Ins Co - 43460," 1,881,565 ",0.2038%," 1,828,217 "," 1,103,227 ",60.34%,2017
Atlantic Specialty Ins Co - 27154," 429,291 ",0.0465%," 511,040 "," 192,152 ",37.60%,2017
AXA Ins Co - 33022," 3,186,619 ",0.3451%," 3,357,940 "," 481,630 ",14.34%,2017
Axis Ins Co - 37273," 1,633,808 ",0.1770%," 3,338,236 "," 15,766,939 ",472.31%,2017
AXIS Reins Co - 20370," 2,961 ",0.0003%," 3,043 "," (30,945)",-1016.92%,2017
Berkley Natl Ins Co - 38911," 67,296 ",0.0073%," 53,525 "," 41,152 ",76.88%,2017
Berkley Regional Ins Co - 29580," 117,703 ",0.0127%," 126,655 "," 39,424 ",31.13%,2017
California Capital Ins Co - 13544," 14,968,500 ",1.6212%," 14,750,144 "," 6,003,310 ",40.70%,2017
California Cas Ind Exch - 20117," 188,836 ",0.0205%," 187,538 "," 55,929 ",29.82%,2017
California Mut Ins Co - 27480," 168,325 ",0.0182%," 174,480 "," 69,358 ",39.75%,2017
Capitol Ind Corp - 10472," 13,024 ",0.0014%," 4,388 "," 1,199 ",27.32%,2017
Century Natl Ins Co - 26905," 5,461,300 ",0.5915%," 5,948,817 "," 3,413,553 ",57.38%,2017
Church Mut Ins Co - 18767," 136,885 ",0.0148%," 134,294 "," (446,988)",-332.84%,2017
Citizens Ins Co Of Amer - 31534," 237,725 ",0.0257%," 217,177 "," (8,288)",-3.82%,2017
Civic Prop & Cas Co  - 10315," 2,308,553 ",0.2500%," 2,246,995 "," 719,775 ",32.03%,2017
Civil Serv Employees Ins Co - 10693," 4,111,627 ",0.4453%," 4,243,203 "," 5,260,603 ",123.98%,2017
Coastal Select Ins Co - 10887," 81,692 ",0.0088%," 85,422 "," 25,514 ",29.87%,2017
Continental Cas Co - 20443," 6,770,892 ",0.7333%," 6,358,553 "," 60,781,282 ",955.90%,2017
Continental Ins Co - 35289," 270,912 ",0.0293%," 184,412 "," (11,891)",-6.45%,2017
Crestbrook Ins Co - 18961," 80,947 ",0.0088%," 52,063 "," 20,331 ",39.05%,2017
Crusader Ins Co - 14010," 71,493 ",0.0077%," 131,704 "," (13,017)",-9.88%,2017
CSAA Fire & Cas Ins Co - 10921," 53,746,966 ",5.8212%," 53,607,755 "," 79,650,405 ",148.58%,2017
CSAA Ins Exch - 15539," 2,266,747 ",0.2455%," 2,185,059 "," 732,627 ",33.53%,2017
CSE Safeguard Ins Co - 18953," 28,028,999 ",3.0357%," 24,539,282 "," 11,219,339 ",45.72%,2017
Diamond State Ins Co - 42048," 20,201 ",0.0022%," 20,269 ", (227),-1.12%,2017
Dorinco Reins Co - 33499," 1,130,654 ",0.1225%," 1,119,075 ", -   ,0.00%,2017
Eagle W Ins Co - 12890," 714,040 ",0.0773%," 727,305 "," 623,991 ",85.79%,2017
Electric Ins Co - 21261," 31,394 ",0.0034%," 30,785 ", -   ,0.00%,2017
Empire Fire & Marine Ins Co - 21326," 15,552 ",0.0017%," 17,121 ", 109 ,0.64%,2017
