Year,Period,Area,Adjusted,Preliminary,Labor Force,Employment,Unemployment,Unemployment Rate
2016,Annual,Kerman city,Not Adj,Not Prelim,6700,6200,500,0.081
2015,Annual,Kerman city,Not Adj,Not Prelim,6600,6100,600,0.087
2014,Annual,Kerman city,Not Adj,Not Prelim,6600,5900,700,0.099
2013,Annual,Kerman city,Not Adj,Not Prelim,6600,5800,800,0.114
2012,Annual,Kerman city,Not Adj,Not Prelim,6600,5700,900,0.131
2011,Annual,Kerman city,Not Adj,Not Prelim,6600,5700,900,0.143
2010,Annual,Kerman city,Not Adj,Not Prelim,6600,5600,900,0.145
2019,Annual,Kernville CDP,Not Adj,Not Prelim,500,500,0,0.000
2018,Annual,Kernville CDP,Not Adj,Not Prelim,500,500,0,0.000
2017,Annual,Kernville CDP,Not Adj,Not Prelim,500,500,0,0.000
2016,Annual,Kernville CDP,Not Adj,Not Prelim,500,500,0,0.000
2015,Annual,Kernville CDP,Not Adj,Not Prelim,500,500,0,0.000
2014,Annual,Kernville CDP,Not Adj,Not Prelim,500,500,0,0.000
2013,Annual,Kernville CDP,Not Adj,Not Prelim,500,500,0,0.000
2012,Annual,Kernville CDP,Not Adj,Not Prelim,500,500,0,0.000
2011,Annual,Kernville CDP,Not Adj,Not Prelim,400,400,0,0.000
2010,Annual,Kernville CDP,Not Adj,Not Prelim,400,400,0,0.000
2019,Annual,Kettleman City CDP,Not Adj,Not Prelim,600,500,100,0.116
2018,Annual,Kettleman City CDP,Not Adj,Not Prelim,600,500,100,0.115
2017,Annual,Kettleman City CDP,Not Adj,Not Prelim,600,500,100,0.130
2016,Annual,Kettleman City CDP,Not Adj,Not Prelim,600,500,100,0.144
2015,Annual,Kettleman City CDP,Not Adj,Not Prelim,600,500,100,0.152
2014,Annual,Kettleman City CDP,Not Adj,Not Prelim,600,500,100,0.171
2013,Annual,Kettleman City CDP,Not Adj,Not Prelim,600,500,100,0.191
2012,Annual,Kettleman City CDP,Not Adj,Not Prelim,600,500,100,0.210
2011,Annual,Kettleman City CDP,Not Adj,Not Prelim,700,500,100,0.223
2010,Annual,Kettleman City CDP,Not Adj,Not Prelim,700,500,100,0.226
2019,Annual,Keyes CDP,Not Adj,Not Prelim,2700,2500,200,0.063
2018,Annual,Keyes CDP,Not Adj,Not Prelim,2700,2500,200,0.068
2017,Annual,Keyes CDP,Not Adj,Not Prelim,2700,2500,200,0.078
2016,Annual,Keyes CDP,Not Adj,Not Prelim,2700,2500,200,0.090
2015,Annual,Keyes CDP,Not Adj,Not Prelim,2700,2400,300,0.099
2014,Annual,Keyes CDP,Not Adj,Not Prelim,2700,2400,300,0.116
2013,Annual,Keyes CDP,Not Adj,Not Prelim,2700,2300,400,0.134
2012,Annual,Keyes CDP,Not Adj,Not Prelim,2700,2300,400,0.154
2011,Annual,Keyes CDP,Not Adj,Not Prelim,2700,2200,500,0.171
2010,Annual,Keyes CDP,Not Adj,Not Prelim,2700,2200,500,0.175
2019,Annual,King City city,Not Adj,Not Prelim,6400,6200,200,0.034
2018,Annual,King City city,Not Adj,Not Prelim,6400,6200,200,0.035
2017,Annual,King City city,Not Adj,Not Prelim,6300,6100,300,0.040
2016,Annual,King City city,Not Adj,Not Prelim,6300,6000,300,0.042
2015,Annual,King City city,Not Adj,Not Prelim,6300,6000,300,0.045
2014,Annual,King City city,Not Adj,Not Prelim,6200,5900,300,0.050
2013,Annual,King City city,Not Adj,Not Prelim,6100,5800,400,0.058
2012,Annual,King City city,Not Adj,Not Prelim,6100,5700,400,0.065
2011,Annual,King City city,Not Adj,Not Prelim,6100,5600,400,0.072
2010,Annual,King City city,Not Adj,Not Prelim,6100,5600,400,0.072
2019,Annual,Kings Beach CDP,Not Adj,Not Prelim,1800,1800,0,0.012
2018,Annual,Kings Beach CDP,Not Adj,Not Prelim,1800,1800,0,0.012
2017,Annual,Kings Beach CDP,Not Adj,Not Prelim,1700,1700,0,0.014
2016,Annual,Kings Beach CDP,Not Adj,Not Prelim,1700,1700,0,0.017
2015,Annual,Kings Beach CDP,Not Adj,Not Prelim,1700,1600,0,0.019
2014,Annual,Kings Beach CDP,Not Adj,Not Prelim,1600,1600,0,0.024
2013,Annual,Kings Beach CDP,Not Adj,Not Prelim,1600,1600,0,0.029
2012,Annual,Kings Beach CDP,Not Adj,Not Prelim,1600,1500,100,0.036
2011,Annual,Kings Beach CDP,Not Adj,Not Prelim,1600,1500,100,0.042
2010,Annual,Kings Beach CDP,Not Adj,Not Prelim,1600,1500,100,0.045
2019,Annual,Kingsburg city,Not Adj,Not Prelim,5700,5400,300,0.050
2018,Annual,Kingsburg city,Not Adj,Not Prelim,5600,5300,300,0.052
2017,Annual,Kingsburg city,Not Adj,Not Prelim,5600,5300,300,0.059
2016,Annual,Kingsburg city,Not Adj,Not Prelim,5600,5200,400,0.066
2015,Annual,Kingsburg city,Not Adj,Not Prelim,5500,5100,400,0.071
2014,Annual,Kingsburg city,Not Adj,Not Prelim,5500,5000,400,0.081
2013,Annual,Kingsburg city,Not Adj,Not Prelim,5400,4900,500,0.093
2012,Annual,Kingsburg city,Not Adj,Not Prelim,5400,4800,600,0.107
2011,Annual,Kingsburg city,Not Adj,Not Prelim,5400,4800,600,0.117
2010,Annual,Kingsburg city,Not Adj,Not Prelim,5400,4700,600,0.118
2019,Annual,Kirkwood CDP,Not Adj,Not Prelim,80,80,0,0.025
2018,Annual,Kirkwood CDP,Not Adj,Not Prelim,80,80,0,0.025
2017,Annual,Kirkwood CDP,Not Adj,Not Prelim,80,80,0,0.026
2016,Annual,Kirkwood CDP,Not Adj,Not Prelim,80,80,0,0.026
2015,Annual,Kirkwood CDP,Not Adj,Not Prelim,80,80,0,0.038
2014,Annual,Kirkwood CDP,Not Adj,Not Prelim,70,70,0,0.042
2013,Annual,Kirkwood CDP,Not Adj,Not Prelim,70,70,0,0.041
2012,Annual,Kirkwood CDP,Not Adj,Not Prelim,80,70,0,0.053
2011,Annual,Kirkwood CDP,Not Adj,Not Prelim,80,80,10,0.062
2010,Annual,Kirkwood CDP,Not Adj,Not Prelim,70,70,0,0.054
2019,Annual,Klamath CDP,Not Adj,Not Prelim,220,200,20,0.094
2018,Annual,Klamath CDP,Not Adj,Not Prelim,230,200,20,0.093
2017,Annual,Klamath CDP,Not Adj,Not Prelim,230,200,20,0.106
2016,Annual,Klamath CDP,Not Adj,Not Prelim,230,200,30,0.123
2015,Annual,Klamath CDP,Not Adj,Not Prelim,230,200,30,0.138
2014,Annual,Klamath CDP,Not Adj,Not Prelim,240,200,40,0.161
2013,Annual,Klamath CDP,Not Adj,Not Prelim,250,200,50,0.185
2012,Annual,Klamath CDP,Not Adj,Not Prelim,260,200,50,0.211
2011,Annual,Klamath CDP,Not Adj,Not Prelim,270,210,60,0.208
2010,Annual,Klamath CDP,Not Adj,Not Prelim,270,210,50,0.204
2019,Annual,Knightsen CDP,Not Adj,Not Prelim,600,600,0,0.017
2018,Annual,Knightsen CDP,Not Adj,Not Prelim,600,600,0,0.018
2017,Annual,Knightsen CDP,Not Adj,Not Prelim,600,600,0,0.022
2016,Annual,Knightsen CDP,Not Adj,Not Prelim,600,600,0,0.025
2015,Annual,Knightsen CDP,Not Adj,Not Prelim,600,600,0,0.028
2014,Annual,Knightsen CDP,Not Adj,Not Prelim,600,600,0,0.035
2013,Annual,Knightsen CDP,Not Adj,Not Prelim,600,500,0,0.042
2012,Annual,Knightsen CDP,Not Adj,Not Prelim,600,500,0,0.050
2011,Annual,Knightsen CDP,Not Adj,Not Prelim,600,500,0,0.058
2010,Annual,Knightsen CDP,Not Adj,Not Prelim,500,500,0,0.063
2019,Annual,La Canada Flintridge city,Not Adj,Not Prelim,9600,9400,200,0.020
2018,Annual,La Canada Flintridge city,Not Adj,Not Prelim,9500,9300,200,0.021
2017,Annual,La Canada Flintridge city,Not Adj,Not Prelim,9500,9300,200,0.022
2016,Annual,La Canada Flintridge city,Not Adj,Not Prelim,9400,9100,200,0.024
2015,Annual,La Canada Flintridge city,Not Adj,Not Prelim,9200,8900,300,0.031
2014,Annual,La Canada Flintridge city,Not Adj,Not Prelim,9100,8800,400,0.039
2013,Annual,La Canada Flintridge city,Not Adj,Not Prelim,9000,8600,400,0.046
2012,Annual,La Canada Flintridge city,Not Adj,Not Prelim,8800,8400,500,0.052
2011,Annual,La Canada Flintridge city,Not Adj,Not Prelim,8800,8300,500,0.059
2010,Annual,La Canada Flintridge city,Not Adj,Not Prelim,8800,8200,500,0.060
2019,Annual,La Crescenta Montrose CDP,Not Adj,Not Prelim,10000,9600,300,0.032
2018,Annual,La Crescenta Montrose CDP,Not Adj,Not Prelim,9900,9600,300,0.033
2017,Annual,La Crescenta Montrose CDP,Not Adj,Not Prelim,9900,9500,300,0.034
2016,Annual,La Crescenta Montrose CDP,Not Adj,Not Prelim,9800,9400,400,0.037
2015,Annual,La Crescenta Montrose CDP,Not Adj,Not Prelim,9600,9200,500,0.047
2014,Annual,La Crescenta Montrose CDP,Not Adj,Not Prelim,9600,9000,600,0.059
2013,Annual,La Crescenta Montrose CDP,Not Adj,Not Prelim,9500,8800,700,0.070
2012,Annual,La Crescenta Montrose CDP,Not Adj,Not Prelim,9400,8600,700,0.079
2011,Annual,La Crescenta Montrose CDP,Not Adj,Not Prelim,9400,8500,800,0.089
2010,Annual,La Crescenta Montrose CDP,Not Adj,Not Prelim,9300,8500,800,0.091
2019,Annual,Ladera Heights CDP,Not Adj,Not Prelim,3500,3300,200,0.055
2018,Annual,Ladera Heights CDP,Not Adj,Not Prelim,3500,3300,200,0.057
2017,Annual,Ladera Heights CDP,Not Adj,Not Prelim,3500,3300,200,0.058
2016,Annual,Ladera Heights CDP,Not Adj,Not Prelim,3500,3200,200,0.064
2015,Annual,Ladera Heights CDP,Not Adj,Not Prelim,3400,3200,300,0.081
2014,Annual,Ladera Heights CDP,Not Adj,Not Prelim,3500,3100,300,0.100
2013,Annual,Ladera Heights CDP,Not Adj,Not Prelim,3500,3000,400,0.118
2012,Annual,Ladera Heights CDP,Not Adj,Not Prelim,3400,3000,500,0.132
2011,Annual,Ladera Heights CDP,Not Adj,Not Prelim,3400,2900,500,0.147
2010,Annual,Ladera Heights CDP,Not Adj,Not Prelim,3400,2900,500,0.150
2019,Annual,Lafayette city,Not Adj,Not Prelim,12700,12400,300,0.024
2018,Annual,Lafayette city,Not Adj,Not Prelim,12600,12300,300,0.025
2017,Annual,Lafayette city,Not Adj,Not Prelim,12600,12200,400,0.032
2016,Annual,Lafayette city,Not Adj,Not Prelim,12400,12000,400,0.036
2015,Annual,Lafayette city,Not Adj,Not Prelim,12000,11700,300,0.027
2014,Annual,Lafayette city,Not Adj,Not Prelim,11800,11400,400,0.034
2013,Annual,Lafayette city,Not Adj,Not Prelim,11700,11200,500,0.041
2012,Annual,Lafayette city,Not Adj,Not Prelim,11500,11000,600,0.050
2011,Annual,Lafayette city,Not Adj,Not Prelim,11300,10700,700,0.058
2010,Annual,Lafayette city,Not Adj,Not Prelim,11100,10500,700,0.061
2019,Annual,Laguna Beach city,Not Adj,Not Prelim,12600,12300,300,0.025
2018,Annual,Laguna Beach city,Not Adj,Not Prelim,12600,12200,400,0.029
2017,Annual,Laguna Beach city,Not Adj,Not Prelim,12600,12200,400,0.032
2016,Annual,Laguna Beach city,Not Adj,Not Prelim,12600,12100,500,0.037
2015,Annual,Laguna Beach city,Not Adj,Not Prelim,12500,12100,400,0.034
2014,Annual,Laguna Beach city,Not Adj,Not Prelim,12400,11900,500,0.042
2013,Annual,Laguna Beach city,Not Adj,Not Prelim,12400,11800,600,0.050
2012,Annual,Laguna Beach city,Not Adj,Not Prelim,12400,11700,700,0.060
2011,Annual,Laguna Beach city,Not Adj,Not Prelim,12300,11400,900,0.070
2010,Annual,Laguna Beach city,Not Adj,Not Prelim,12200,11300,900,0.075
2019,Annual,Laguna Hills city,Not Adj,Not Prelim,17100,16700,400,0.024
2018,Annual,Laguna Hills city,Not Adj,Not Prelim,17100,16600,500,0.028
2017,Annual,Laguna Hills city,Not Adj,Not Prelim,17100,16500,600,0.033
2016,Annual,Laguna Hills city,Not Adj,Not Prelim,17200,16500,700,0.038
2015,Annual,Laguna Hills city,Not Adj,Not Prelim,17100,16400,700,0.041
2014,Annual,Laguna Hills city,Not Adj,Not Prelim,16700,15800,800,0.050
2013,Annual,Laguna Hills city,Not Adj,Not Prelim,16700,15700,1000,0.060
2012,Annual,Laguna Hills city,Not Adj,Not Prelim,16800,15600,1200,0.072
2011,Annual,Laguna Hills city,Not Adj,Not Prelim,16600,15300,1400,0.083
2010,Annual,Laguna Hills city,Not Adj,Not Prelim,16600,15100,1500,0.089
2019,Annual,Laguna Niguel city,Not Adj,Not Prelim,35700,34800,1000,0.027
2018,Annual,Laguna Niguel city,Not Adj,Not Prelim,35600,34600,1000,0.029
2017,Annual,Laguna Niguel city,Not Adj,Not Prelim,35300,34200,1200,0.033
2016,Annual,Laguna Niguel city,Not Adj,Not Prelim,34800,33400,1400,0.040
2015,Annual,Laguna Niguel city,Not Adj,Not Prelim,34700,33300,1400,0.041
2014,Annual,Laguna Niguel city,Not Adj,Not Prelim,34400,32700,1700,0.050
2013,Annual,Laguna Niguel city,Not Adj,Not Prelim,34200,32100,2100,0.060
2012,Annual,Laguna Niguel city,Not Adj,Not Prelim,34200,31700,2500,0.072
2011,Annual,Laguna Niguel city,Not Adj,Not Prelim,34000,31100,2800,0.083
2010,Annual,Laguna Niguel city,Not Adj,Not Prelim,33800,30700,3000,0.090
2019,Annual,Laguna Woods city,Not Adj,Not Prelim,3200,3100,100,0.018
2018,Annual,Laguna Woods city,Not Adj,Not Prelim,3200,3100,100,0.020
2017,Annual,Laguna Woods city,Not Adj,Not Prelim,3100,3100,100,0.023
2016,Annual,Laguna Woods city,Not Adj,Not Prelim,3100,3000,100,0.027
2015,Annual,Laguna Woods city,Not Adj,Not Prelim,3100,3000,100,0.030
2014,Annual,Laguna Woods city,Not Adj,Not Prelim,3000,2900,100,0.037
2013,Annual,Laguna Woods city,Not Adj,Not Prelim,3000,2900,100,0.044
2012,Annual,Laguna Woods city,Not Adj,Not Prelim,3000,2800,200,0.053
2011,Annual,Laguna Woods city,Not Adj,Not Prelim,3000,2800,200,0.061
2010,Annual,Laguna Woods city,Not Adj,Not Prelim,2900,2700,200,0.066
2019,Annual,La Habra city,Not Adj,Not Prelim,31100,30200,900,0.029
2018,Annual,La Habra city,Not Adj,Not Prelim,31000,30000,1000,0.031
2017,Annual,La Habra city,Not Adj,Not Prelim,30800,29700,1100,0.036
2016,Annual,La Habra city,Not Adj,Not Prelim,30500,29200,1300,0.043
2015,Annual,La Habra city,Not Adj,Not Prelim,30600,29000,1600,0.051
2014,Annual,La Habra city,Not Adj,Not Prelim,30600,28700,1900,0.062
2013,Annual,La Habra city,Not Adj,Not Prelim,30600,28300,2300,0.075
2012,Annual,La Habra city,Not Adj,Not Prelim,30800,28000,2700,0.089
2011,Annual,La Habra city,Not Adj,Not Prelim,30600,27500,3100,0.102
2010,Annual,La Habra city,Not Adj,Not Prelim,30600,27200,3400,0.110
2019,Annual,La Habra Heights city,Not Adj,Not Prelim,2700,2600,100,0.036
2018,Annual,La Habra Heights city,Not Adj,Not Prelim,2600,2500,100,0.037
2017,Annual,La Habra Heights city,Not Adj,Not Prelim,2600,2500,100,0.039
2016,Annual,La Habra Heights city,Not Adj,Not Prelim,2600,2500,100,0.043
2015,Annual,La Habra Heights city,Not Adj,Not Prelim,2600,2400,100,0.054
2014,Annual,La Habra Heights city,Not Adj,Not Prelim,2600,2400,200,0.068
2013,Annual,La Habra Heights city,Not Adj,Not Prelim,2600,2300,200,0.080
2012,Annual,La Habra Heights city,Not Adj,Not Prelim,2500,2300,200,0.090
2011,Annual,La Habra Heights city,Not Adj,Not Prelim,2500,2300,300,0.101
2010,Annual,La Habra Heights city,Not Adj,Not Prelim,2500,2300,300,0.103
2019,Annual,Lake Almanor Country Club CDP,Not Adj,Not Prelim,90,90,0,0.000
2018,Annual,Lake Almanor Country Club CDP,Not Adj,Not Prelim,90,90,0,0.000
2017,Annual,Lake Almanor Country Club CDP,Not Adj,Not Prelim,90,90,0,0.000
2016,Annual,Lake Almanor Country Club CDP,Not Adj,Not Prelim,90,90,0,0.000
2015,Annual,Lake Almanor Country Club CDP,Not Adj,Not Prelim,90,90,0,0.000
2014,Annual,Lake Almanor Country Club CDP,Not Adj,Not Prelim,90,90,0,0.000
2013,Annual,Lake Almanor Country Club CDP,Not Adj,Not Prelim,90,90,0,0.000
2012,Annual,Lake Almanor Country Club CDP,Not Adj,Not Prelim,90,90,0,0.000
2011,Annual,Lake Almanor Country Club CDP,Not Adj,Not Prelim,90,90,0,0.000
2010,Annual,Lake Almanor Country Club CDP,Not Adj,Not Prelim,90,90,0,0.000
2019,Annual,Lake Almanor Peninsula CDP,Not Adj,Not Prelim,100,100,0,0.000
2018,Annual,Lake Almanor Peninsula CDP,Not Adj,Not Prelim,100,100,0,0.000
2017,Annual,Lake Almanor Peninsula CDP,Not Adj,Not Prelim,100,100,0,0.000
2016,Annual,Lake Almanor Peninsula CDP,Not Adj,Not Prelim,100,100,0,0.000
2015,Annual,Lake Almanor Peninsula CDP,Not Adj,Not Prelim,100,100,0,0.000
2014,Annual,Lake Almanor Peninsula CDP,Not Adj,Not Prelim,100,100,0,0.000
2013,Annual,Lake Almanor Peninsula CDP,Not Adj,Not Prelim,100,100,0,0.000
2012,Annual,Lake Almanor Peninsula CDP,Not Adj,Not Prelim,100,100,0,0.000
2011,Annual,Lake Almanor Peninsula CDP,Not Adj,Not Prelim,100,100,0,0.000
2010,Annual,Lake Almanor Peninsula CDP,Not Adj,Not Prelim,100,100,0,0.000
2019,Annual,Lake Almanor West CDP,Not Adj,Not Prelim,30,20,10,0.226
2018,Annual,Lake Almanor West CDP,Not Adj,Not Prelim,30,20,10,0.226
2017,Annual,Lake Almanor West CDP,Not Adj,Not Prelim,30,20,10,0.258
2016,Annual,Lake Almanor West CDP,Not Adj,Not Prelim,30,20,10,0.273
2015,Annual,Lake Almanor West CDP,Not Adj,Not Prelim,30,20,10,0.281
2014,Annual,Lake Almanor West CDP,Not Adj,Not Prelim,40,20,10,0.314
2013,Annual,Lake Almanor West CDP,Not Adj,Not Prelim,40,20,10,0.351
2012,Annual,Lake Almanor West CDP,Not Adj,Not Prelim,40,20,20,0.400
2011,Annual,Lake Almanor West CDP,Not Adj,Not Prelim,40,20,20,0.429
2010,Annual,Lake Almanor West CDP,Not Adj,Not Prelim,40,30,20,0.432
2019,Annual,Lake Arrowhead CDP,Not Adj,Not Prelim,4300,4200,200,0.040
2018,Annual,Lake Arrowhead CDP,Not Adj,Not Prelim,4300,4100,200,0.044
2017,Annual,Lake Arrowhead CDP,Not Adj,Not Prelim,4200,4000,200,0.052
2016,Annual,Lake Arrowhead CDP,Not Adj,Not Prelim,4200,3900,300,0.061
2015,Annual,Lake Arrowhead CDP,Not Adj,Not Prelim,4100,3800,300,0.068
2014,Annual,Lake Arrowhead CDP,Not Adj,Not Prelim,4100,3700,300,0.084
2013,Annual,Lake Arrowhead CDP,Not Adj,Not Prelim,4000,3600,400,0.103
2012,Annual,Lake Arrowhead CDP,Not Adj,Not Prelim,4000,3500,500,0.120
2011,Annual,Lake Arrowhead CDP,Not Adj,Not Prelim,4000,3500,500,0.135
2010,Annual,Lake Arrowhead CDP,Not Adj,Not Prelim,4000,3400,600,0.142
2019,Annual,Lake Elsinore city,Not Adj,Not Prelim,30800,29600,1200,0.039
2018,Annual,Lake Elsinore city,Not Adj,Not Prelim,30400,29200,1200,0.041
2017,Annual,Lake Elsinore city,Not Adj,Not Prelim,29400,28000,1400,0.048
2016,Annual,Lake Elsinore city,Not Adj,Not Prelim,28300,26700,1600,0.057
2015,Annual,Lake Elsinore city,Not Adj,Not Prelim,27400,25400,2000,0.071
2014,Annual,Lake Elsinore city,Not Adj,Not Prelim,26300,24000,2300,0.087
2013,Annual,Lake Elsinore city,Not Adj,Not Prelim,25300,22600,2700,0.105
2012,Annual,Lake Elsinore city,Not Adj,Not Prelim,24600,21600,3000,0.123
2011,Annual,Lake Elsinore city,Not Adj,Not Prelim,24300,20900,3400,0.140
2010,Annual,Lake Elsinore city,Not Adj,Not Prelim,23900,20400,3500,0.147
2019,Annual,Lake Forest city,Not Adj,Not Prelim,49300,48100,1200,0.025
2018,Annual,Lake Forest city,Not Adj,Not Prelim,49200,47900,1300,0.027
2017,Annual,Lake Forest city,Not Adj,Not Prelim,48000,46500,1500,0.031
2016,Annual,Lake Forest city,Not Adj,Not Prelim,47300,45600,1700,0.036
2015,Annual,Lake Forest city,Not Adj,Not Prelim,46100,44700,1500,0.032
2014,Annual,Lake Forest city,Not Adj,Not Prelim,44600,42900,1700,0.039
2013,Annual,Lake Forest city,Not Adj,Not Prelim,44300,42200,2100,0.047
2012,Annual,Lake Forest city,Not Adj,Not Prelim,44200,41700,2500,0.056
2011,Annual,Lake Forest city,Not Adj,Not Prelim,43800,40900,2900,0.065
2010,Annual,Lake Forest city,Not Adj,Not Prelim,43500,40500,3100,0.070
2019,Annual,Lake Isabella CDP,Not Adj,Not Prelim,1200,1100,100,0.107
2018,Annual,Lake Isabella CDP,Not Adj,Not Prelim,1200,1100,100,0.113
2017,Annual,Lake Isabella CDP,Not Adj,Not Prelim,1200,1100,200,0.127
2016,Annual,Lake Isabella CDP,Not Adj,Not Prelim,1200,1100,200,0.143
2015,Annual,Lake Isabella CDP,Not Adj,Not Prelim,1200,1100,200,0.141
2014,Annual,Lake Isabella CDP,Not Adj,Not Prelim,1200,1100,200,0.144
2013,Annual,Lake Isabella CDP,Not Adj,Not Prelim,1300,1000,200,0.161
2012,Annual,Lake Isabella CDP,Not Adj,Not Prelim,1300,1000,200,0.179
2011,Annual,Lake Isabella CDP,Not Adj,Not Prelim,1200,1000,200,0.201
2010,Annual,Lake Isabella CDP,Not Adj,Not Prelim,1200,900,300,0.211
2019,Annual,Lakeland Village CDP,Not Adj,Not Prelim,5800,5400,400,0.065
2018,Annual,Lakeland Village CDP,Not Adj,Not Prelim,5700,5300,400,0.069
2017,Annual,Lakeland Village CDP,Not Adj,Not Prelim,5600,5200,500,0.081
2016,Annual,Lakeland Village CDP,Not Adj,Not Prelim,5600,5000,500,0.093
2015,Annual,Lakeland Village CDP,Not Adj,Not Prelim,5500,4900,600,0.102
2014,Annual,Lakeland Village CDP,Not Adj,Not Prelim,5400,4700,700,0.124
2013,Annual,Lakeland Village CDP,Not Adj,Not Prelim,5400,4600,800,0.148
2012,Annual,Lakeland Village CDP,Not Adj,Not Prelim,5400,4500,900,0.172
2011,Annual,Lakeland Village CDP,Not Adj,Not Prelim,5400,4300,1000,0.193
2010,Annual,Lakeland Village CDP,Not Adj,Not Prelim,5400,4300,1100,0.202
2019,Annual,Lake Los Angeles CDP,Not Adj,Not Prelim,3700,3400,300,0.085
2018,Annual,Lake Los Angeles CDP,Not Adj,Not Prelim,3700,3300,300,0.088
2017,Annual,Lake Los Angeles CDP,Not Adj,Not Prelim,3700,3300,300,0.091
2016,Annual,Lake Los Angeles CDP,Not Adj,Not Prelim,3600,3300,400,0.100
2015,Annual,Lake Los Angeles CDP,Not Adj,Not Prelim,3700,3200,500,0.124
2014,Annual,Lake Los Angeles CDP,Not Adj,Not Prelim,3700,3200,600,0.152
2013,Annual,Lake Los Angeles CDP,Not Adj,Not Prelim,3800,3100,700,0.177
2012,Annual,Lake Los Angeles CDP,Not Adj,Not Prelim,3800,3000,700,0.196
2011,Annual,Lake Los Angeles CDP,Not Adj,Not Prelim,3800,3000,800,0.217
2010,Annual,Lake Los Angeles CDP,Not Adj,Not Prelim,3800,3000,800,0.222
2019,Annual,Lake Nacimiento CDP,Not Adj,Not Prelim,1300,1200,0,0.025
2018,Annual,Lake Nacimiento CDP,Not Adj,Not Prelim,1300,1200,0,0.025
2017,Annual,Lake Nacimiento CDP,Not Adj,Not Prelim,1300,1200,0,0.030
2016,Annual,Lake Nacimiento CDP,Not Adj,Not Prelim,1200,1200,0,0.037
2015,Annual,Lake Nacimiento CDP,Not Adj,Not Prelim,1200,1200,100,0.040
2014,Annual,Lake Nacimiento CDP,Not Adj,Not Prelim,1300,1200,100,0.048
2013,Annual,Lake Nacimiento CDP,Not Adj,Not Prelim,1200,1200,100,0.058
2012,Annual,Lake Nacimiento CDP,Not Adj,Not Prelim,1200,1100,100,0.070
2011,Annual,Lake Nacimiento CDP,Not Adj,Not Prelim,1200,1100,100,0.082
2010,Annual,Lake Nacimiento CDP,Not Adj,Not Prelim,1200,1100,100,0.086
2019,Annual,Lake of the Pines CDP,Not Adj,Not Prelim,2000,1900,100,0.049
2018,Annual,Lake of the Pines CDP,Not Adj,Not Prelim,2000,1900,100,0.052
2017,Annual,Lake of the Pines CDP,Not Adj,Not Prelim,2000,1880,120,0.060
2016,Annual,Lake of the Pines CDP,Not Adj,Not Prelim,1990,1860,140,0.070
2015,Annual,Lake of the Pines CDP,Not Adj,Not Prelim,2000,1840,160,0.079
2014,Annual,Lake of the Pines CDP,Not Adj,Not Prelim,2000,1810,190,0.095
2013,Annual,Lake of the Pines CDP,Not Adj,Not Prelim,2030,1790,240,0.116
2012,Annual,Lake of the Pines CDP,Not Adj,Not Prelim,2050,1770,290,0.139
2011,Annual,Lake of the Pines CDP,Not Adj,Not Prelim,2090,1760,330,0.157
2010,Annual,Lake of the Pines CDP,Not Adj,Not Prelim,2100,1750,350,0.166
2019,Annual,Lake of the Woods CDP,Not Adj,Not Prelim,300,200,0,0.075
2018,Annual,Lake of the Woods CDP,Not Adj,Not Prelim,300,200,0,0.080
2017,Annual,Lake of the Woods CDP,Not Adj,Not Prelim,300,200,0,0.092
2016,Annual,Lake of the Woods CDP,Not Adj,Not Prelim,300,200,0,0.103
2015,Annual,Lake of the Woods CDP,Not Adj,Not Prelim,300,200,0,0.099
2014,Annual,Lake of the Woods CDP,Not Adj,Not Prelim,300,200,0,0.102
2013,Annual,Lake of the Woods CDP,Not Adj,Not Prelim,300,200,0,0.117
2012,Annual,Lake of the Woods CDP,Not Adj,Not Prelim,300,200,0,0.129
2011,Annual,Lake of the Woods CDP,Not Adj,Not Prelim,200,200,0,0.145
2010,Annual,Lake of the Woods CDP,Not Adj,Not Prelim,200,200,0,0.154
2019,Annual,Lakeport city,Not Adj,Not Prelim,2540,2470,70,0.027
2018,Annual,Lakeport city,Not Adj,Not Prelim,2530,2460,70,0.029
2017,Annual,Lakeport city,Not Adj,Not Prelim,2550,2470,80,0.031
2016,Annual,Lakeport city,Not Adj,Not Prelim,2510,2420,90,0.037
2015,Annual,Lakeport city,Not Adj,Not Prelim,2500,2390,100,0.041
2014,Annual,Lakeport city,Not Adj,Not Prelim,2500,2380,120,0.049
2013,Annual,Lakeport city,Not Adj,Not Prelim,2480,2330,150,0.061
2012,Annual,Lakeport city,Not Adj,Not Prelim,2480,2300,180,0.072
2011,Annual,Lakeport city,Not Adj,Not Prelim,2460,2260,200,0.082
2010,Annual,Lakeport city,Not Adj,Not Prelim,2470,2260,210,0.085
2019,Annual,Lakeside CDP,Not Adj,Not Prelim,10700,10200,500,0.042
2018,Annual,Lakeside CDP,Not Adj,Not Prelim,10600,10100,500,0.045
2017,Annual,Lakeside CDP,Not Adj,Not Prelim,10600,10000,600,0.053
2016,Annual,Lakeside CDP,Not Adj,Not Prelim,10500,9900,700,0.062
2015,Annual,Lakeside CDP,Not Adj,Not Prelim,10500,9800,700,0.068
2014,Annual,Lakeside CDP,Not Adj,Not Prelim,10500,9600,900,0.084
2013,Annual,Lakeside CDP,Not Adj,Not Prelim,10500,9400,1100,0.102
2012,Annual,Lakeside CDP,Not Adj,Not Prelim,10500,9300,1200,0.118
