company,written_premium_(b),market_share,earned_premium_(b),incurred_loss_(b),loss_ratio,year
Federated Rural Electric Ins Exch - 11118,"42,578",0.00%,"42,318",355,0.84%,2018
Federated Serv Ins Co - 28304,"772,910",0.08%,"699,061","43,130",6.17%,2018
Fidelity & Deposit Co Of MD  - 39306,"7,698,963",0.82%,"7,549,177","7,573,766",100.33%,2018
Financial Pacific Ins Co - 31453,"972,450",0.10%,"1,069,630","356,048",33.29%,2018
Fire Ins Exch - 21660,"56,975,488",6.07%,"59,338,819","36,455,871",61.44%,2018
Firemans Fund Ins Co - 21873,"533,047",0.06%,"720,547","473,079",65.66%,2018
First Amer Prop & Cas Ins Co - 37710,"111,321",0.01%,"111,321","33,493",30.09%,2018
First Amer Specilaty Ins Co - 34525,"24,694,420",2.63%,"24,637,282","15,322,188",62.19%,2018
First Natl Ins Co Of Amer - 24724,"19,747",0.00%,"26,570",-894,-3.36%,2018
Florists Mut Ins Co - 13978,"1,176,758",0.13%,"820,472","375,061",45.71%,2018
Foremost Ins Co Grand Rapids MI - 11185,"35,579,249",3.79%,"33,472,627","58,829,606",175.75%,2018
Freedom Specialty Ins Co - 22209,"3,522",0.00%,"4,755","2,892",60.82%,2018
Garrison Prop & Cas Ins Co - 21253,"2,077,972",0.22%,"2,017,823","1,004,114",49.76%,2018
General Cas Co Of WI - 24414,"202,575",0.02%,"179,729","-951,570",-529.45%,2018
General Ins Co Of Amer - 24732,"16,795",0.00%,"20,276","37,873",186.79%,2018
Geovera Ins Co - 10799,"554,332",0.06%,"559,965","2,607,698",465.69%,2018
Geovera Specialty Ins Co - 10182,116,0.00%,169,210,124.26%,2018
Golden Bear Ins Co - 39861,"1,980,864",0.21%,"1,595,246","668,440",41.90%,2018
Golden Eagle Ins Corp - 10836,660,0.00%,714, -   ,0.00%,2018
Grange Ins Assn - 22101,"599,164",0.06%,"653,279","717,759",109.87%,2018
Granite State Ins Co - 23809,"780,403",0.08%,"705,264","-22,931",-3.25%,2018
Graphic Arts Mut Ins Co - 25984,238,0.00%,129, -   ,0.00%,2018
Great Amer Alliance Ins Co - 26832,766,0.00%,"1,741",-91,-5.23%,2018
Great Amer Assur Co - 26344,"69,264",0.01%,"58,197","-92,506",-158.95%,2018
Great Amer Ins Co - 16691,"366,304",0.04%,"275,996","-17,139",-6.21%,2018
Great Amer Ins Co of NY - 22136,"1,025,080",0.11%,"1,289,400","1,234,798",95.77%,2018
Great Divide Ins Co - 25224,"2,561",0.00%,"3,794",83,2.19%,2018
Great Midwest Ins Co - 18694,589,0.00%,71,35,49.30%,2018
Great Northern Ins Co - 20303,"98,094",0.01%,"76,226","61,912",81.22%,2018
Greenwich Ins Co - 22322,"924,243",0.10%,"958,631","1,299,350",135.54%,2018
Guideone Mut Ins Co - 15032,"27,621",0.00%,"30,918","127,662",412.91%,2018
Guideone Specialty Mut Ins Co - 14559,"244,726",0.03%,"253,245","864,689",341.44%,2018
Hanover Amer Ins Co - 36064,"259,469",0.03%,"229,164","124,366",54.27%,2018
Hanover Ins Co - 22292,"593,409",0.06%,"548,776","470,913",85.81%,2018
Harco Natl Ins Co - 26433,"3,353,558",0.36%,"1,863,086","1,465,291",78.65%,2018
Harleysville Ins Co - 23582,"2,717",0.00%,"2,097","2,093",99.81%,2018
Hartford Cas Ins Co - 29424,"102,937",0.01%,"124,518",-862,-0.69%,2018
Hartford Fire Ins Co - 19682,"4,581,196",0.49%,"4,191,687","3,232,915",77.13%,2018
Hartford Underwriters Ins Co - 30104,"1,151,763",0.12%,"1,239,599","2,081,014",167.88%,2018
HDI Global Ins Co - 41343,"10,327,188",1.10%,"8,891,783","-3,358,473",-37.77%,2018
Hiscox Ins Co Inc - 10200,"1,233,764",0.13%,"1,146,535","411,182",35.86%,2018
Horace Mann Ins Co - 22578,"578,235",0.06%,"582,604","8,356,990",1434.42%,2018
Horace Mann Prop & Cas Ins Co - 22756,"125,030",0.01%,"123,045","1,063,829",864.59%,2018
Hudson Ins Co - 25054,"32,563",0.00%,"31,756","5,693",17.93%,2018
Hyundai Marine & Fire Ins Co Ltd - 10048,"213,685",0.02%,"129,146","18,530",14.35%,2018
Imperium Ins Co - 35408,"11,611",0.00%,"12,664", -   ,0.00%,2018
Indemnity Ins Co Of North Amer - 43575,"35,235",0.00%,"35,340","5,502",15.57%,2018
Insurance Co of N Amer - 22713,"1,371,417",0.15%,"1,136,489","1,047,826",92.20%,2018
Insurance Co Of The State Of PA - 19429,"14,170,612",1.51%,"14,321,575","-1,241,460",-8.67%,2018
Integon Natl Ins Co - 29742,"2,509,866",0.27%,"2,259,732","2,452,474",108.53%,2018
Interins Exch Of The Automobile Club - 15598,"20,703,155",2.20%,"21,202,623","11,264,649",53.13%,2018
Kemper Independence Ins Co - 10914,"4,425,228",0.47%,"4,453,136","5,104,847",114.63%,2018
Kookmin Best Ins Co Ltd - 37800,"51,424",0.01%,"58,419","69,998",119.82%,2018
Liberty Mut Fire Ins Co - 23035,"19,967,703",2.13%,"19,403,763","12,160,868",62.67%,2018
Liberty Mut Ins Co - 23043,"5,197,203",0.55%,"5,087,115","2,164,781",42.55%,2018
Manufacturers Alliance Ins Co - 36897,"1,742",0.00%,"2,356",-396,-16.81%,2018
Mapfre Ins Co - 23876,"165,375",0.02%,"179,540","256,305",142.76%,2018
Markel Amer Ins Co - 28932,"33,367",0.00%,"9,361","26,889",287.24%,2018
Markel Ins Co - 38970,"15,358",0.00%,"16,961","3,102",18.29%,2018
Massachusetts Bay Ins Co - 22306,"836,188",0.09%,"698,328","394,296",56.46%,2018
Mercury Cas Co - 11908,"15,548,198",1.66%,"15,157,725","14,694,042",96.94%,2018
Metropolitan Drt Prop & Cas Ins Co - 25321,"137,017",0.01%,"127,413","133,502",104.78%,2018
Mid Century Ins Co - 21687,"3,177",0.00%,"3,591",-137,-3.82%,2018
Middlesex Ins Co - 23434,"141,859",0.02%,"36,189","25,181",69.58%,2018
Mitsui Sumitomo Ins Co of Amer - 20362,"487,553",0.05%,"454,888","182,125",40.04%,2018
Mitsui Sumitomo Ins USA Inc - 22551,"70,064",0.01%,"54,660","9,625",17.61%,2018
Monterey Ins Co - 23540,"44,999",0.00%,"44,448","57,172",128.63%,2018
National Amer Ins Co - 23663,53,0.00%,16, -   ,0.00%,2018
National Cas Co - 11991,141,0.00%,87,84,96.55%,2018
National Fire Ins Co Of Hartford - 20478,"14,270",0.00%,"21,964","240,141",1093.34%,2018
National Interstate Ins Co - 32620,"7,234",0.00%,"7,306","1,820",24.91%,2018
National Union Fire Ins Co Of Pitts - 19445,"5,283,016",0.56%,"5,878,923","-470,808",-8.01%,2018
Nationwide Agribusiness Ins Co - 28223,"1,850,760",0.20%,"2,053,202","1,230,596",59.94%,2018
Nationwide Ins Co Of Amer - 25453,"3,667,344",0.39%,"3,686,712","1,587,037",43.05%,2018
Nationwide Mut Fire Ins Co - 23779,"226,898",0.02%,"233,227","-102,422",-43.92%,2018
Nationwide Mut Ins Co - 23787,"6,577,395",0.70%,"6,488,412","14,192,744",218.74%,2018
Neighborhood Spirit Prop & Cas Co - 10317,"8,493,742",0.90%,"8,397,785","2,361,957",28.13%,2018
Netherlands Ins Co The - 24171,"3,497",0.00%,"4,620","4,181,176",90501.65%,2018
New Hampshire Ins Co - 23841,"92,712",0.01%,"86,687","17,699",20.42%,2018
New York Marine & Gen Ins Co - 16608,"4,138,151",0.44%,"1,279,551","348,844",27.26%,2018
North Amer Elite Ins Co - 29700,"2,944,834",0.31%,"2,478,559","521,855",21.05%,2018
North Amer Specialty Ins Co - 29874,"75,547",0.01%,"65,965","6,910",10.48%,2018
North River Ins Co - 21105,164,0.00%,164,44,26.83%,2018
Nova Cas Co - 42552,"158,346",0.02%,"151,400","69,289",45.77%,2018
Ohio Cas Ins Co - 24074,"595,910",0.06%,"718,848","-723,932",-100.71%,2018
Ohio Security Ins Co - 24082,"2,416,533",0.26%,"2,187,933","843,676",38.56%,2018
Oregon Mut Ins Co - 14907,"1,167,123",0.12%,"1,218,696","1,866,989",153.20%,2018
Pacific Employers Ins Co - 22748,"2,719,707",0.29%,"2,301,196","-130,021",-5.65%,2018
Pacific Ind Co - 20346,"7,306",0.00%,"7,050","6,324",89.70%,2018
Pacific Prop & Cas Co - 11048,"203,527",0.02%,"194,532","95,023",48.85%,2018
Peerless Ind Ins Co - 18333,"1,445",0.00%,"3,357","14,365",427.91%,2018
Peerless Ins Co - 24198,"4,161,319",0.44%,"4,250,840","4,750,251",111.75%,2018
Penn Amer Ins Co - 32859,"5,563",0.00%,"7,066",-569,-8.05%,2018
Pennsylvania Lumbermens Mut Ins - 14974,"2,924,852",0.31%,"2,155,021","2,781,805",129.08%,2018
Pennsylvania Manufacturers Assoc Ins - 12262,"45,011",0.00%,"24,327","14,264",58.63%,2018
Philadelphia Ind Ins Co - 18058,"10,397",0.00%,"14,931",9,0.06%,2018
QBE Ins Corp - 39217,"837,563",0.09%,"842,969","1,469,136",174.28%,2018
Regent Ins Co - 24449,"4,026",0.00%,"3,688",151,4.09%,2018
Residence Mut Ins Co - 15776,"1,997,395",0.21%,"2,080,606","1,266,972",60.89%,2018
Riverport Ins Co - 36684,"4,826",0.00%,"5,725","5,882",102.74%,2018
RLI Ins Co - 13056,267,0.00%,33, -   ,0.00%,2018
RSUI Ind Co - 22314,"1,348,836",0.14%,"1,296,105","69,104",5.33%,2018
Safeco Ins Co Of Amer - 24740,"54,714,398",5.83%,"55,201,062","49,809,369",90.23%,2018
Scottsdale Ind Co - 15580,"184,208",0.02%,"142,192","79,397",55.84%,2018
Security Natl Ins Co - 19879,"175,415",0.02%,"175,216","431,860",246.47%,2018
Seneca Ins Co Inc - 10936,"1,214,301",0.13%,"1,010,490","-73,551",-7.28%,2018
Sentry Ins A Mut Co - 24988,"1,663,140",0.18%,"1,947,875","2,412,929",123.87%,2018
Sentry Select Ins Co - 21180,"686,606",0.07%,"854,992","5,839,750",683.02%,2018
Sequoia Ins Co - 22985,"117,932",0.01%,"117,932","88,627",75.15%,2018
Sirius Amer Ins Co - 38776,"19,401",0.00%,"19,401","-2,004",-10.33%,2018
Sompo Japan Ins Co of Amer - 11126,"803,023",0.09%,"740,336","-587,863",-79.40%,2018
St Paul Fire & Marine Ins Co - 24767,"260,870",0.03%,"233,309","586,069",251.20%,2018
St Paul Guardian Ins Co - 24775,205,0.00%,421,"-1,509",-358.43%,2018
Standard Fire Ins Co - 19070,"1,871,137",0.20%,"1,829,610","7,317,862",399.97%,2018
Standard Guar Ins Co - 42986,"98,382",0.01%,"95,070","43,756",46.03%,2018
Star Ins Co - 18023,"4,771",0.00%,"4,312",16,0.37%,2018
Starnet Ins Co - 40045,"101,905",0.01%,"106,048","3,416",3.22%,2018
Starr Ind & Liab Co - 38318,"11,557",0.00%,"17,222","17,287",100.38%,2018
State Farm Gen Ins Co - 25151,"9,866,958",1.05%,"9,266,052","11,395,145",122.98%,2018
Stillwater Ins Co - 25180,"4,037,892",0.43%,"3,985,104","1,438,788",36.10%,2018
Sutter Ins Co - 32107,"151,489",0.02%,"160,568","63,466",39.53%,2018
Technology Ins Co Inc - 42376,"9,926",0.00%,"13,737","-1,217",-8.86%,2018
The Cincinnati Cas Co - 28665,102,0.00%,78, -   ,0.00%,2018
The Cincinnati Ind Co - 23280,50,0.00%,"1,150", -   ,0.00%,2018
The Cincinnati Ins Co - 10677,"65,116",0.01%,"59,450","13,704",23.05%,2018
Tokio Marine Amer Ins Co - 10945,"8,590,838",0.91%,"7,347,767","125,651",1.71%,2018
Topa Ins Co - 18031,"2,468,558",0.26%,"2,057,072","3,372,954",163.97%,2018
Transguard Ins Co Of Amer Inc - 28886,"86,365",0.01%,"76,798","13,172",17.15%,2018
Transportation Ins Co - 20494,"30,680",0.00%,"24,280","120,140",494.81%,2018
Travelers Cas & Surety Co - 19038,"1,213,494",0.13%,"1,202,149","4,811,345",400.23%,2018
Travelers Ind Co Of CT - 25682,"629,170",0.07%,"628,542","-632,875",-100.69%,2018
Travelers Prop Cas Co Of Amer - 25674,"44,956,431",4.79%,"42,767,659","226,399,566",529.37%,2018
Travelers Prop Cas Ins Co - 36161,"14,526,126",1.55%,"13,833,046","25,537,796",184.61%,2018
Truck Ins Exch - 21709,"816,456",0.09%,"777,143","870,567",112.02%,2018
UFG Specialty Ins Co - 19526,"1,184",0.00%,"16,038",-569,-3.55%,2018
Unigard Ins Co - 25747,"2,033,077",0.22%,"2,224,651","-43,942,760",-1975.27%,2018
United Cas Ins Co Of Amer - 11142,"568,022",0.06%,"567,250","21,305",3.76%,2018
United Fire & Cas Co - 13021,"2,508,714",0.27%,"2,634,909","13,261,970",503.32%,2018
United Serv Automobile Assn - 25941,"13,452,085",1.43%,"13,320,076","11,662,447",87.56%,2018
United States Fire Ins Co - 21113,"94,629",0.01%,"111,979","-2,061,604",-1841.06%,2018
United States Liab Ins Co - 25895,"7,944,156",0.85%,"7,503,625","3,122,358",41.61%,2018
Universal N Amer Ins Co - 10759,"13,927,319",1.48%,"14,150,232","7,797,762",55.11%,2018
Universal Underwriters Ins Co - 41181,"1,249",0.00%,"15,974",-871,-5.45%,2018
USAA Cas Ins Co - 25968,"8,855,740",0.94%,"9,031,598","13,380,387",148.15%,2018
USAA Gen Ind Co - 18600,"1,989,555",0.21%,"1,954,965","1,925,159",98.48%,2018
Utica Mut Ins Co - 25976,691,0.00%,679,142,20.91%,2018
Valley Forge Ins Co - 20508,"34,312",0.00%,"34,606","134,957",389.98%,2018
Vanliner Ins Co - 21172,"2,193",0.00%,"2,076",23,1.11%,2018
Verlan Fire Ins Co MD - 10815,"3,929,629",0.42%,"3,870,022","-152,807",-3.95%,2018
Vigilant Ins Co - 20397,"64,049",0.01%,"63,940","57,516",89.95%,2018
Wawanesa Gen Ins Co - 10683,"145,925",0.02%,"134,041","170,409",127.13%,2018
Wesco Ins Co - 25011,"23,212",0.00%,"33,808","3,414,623",10100.04%,2018
West Amer Ins Co - 44393,"1,909,021",0.20%,"1,854,335","3,415,983",184.22%,2018
Westchester Fire Ins Co - 10030,"5,697,090",0.61%,"5,677,974","7,125,118",125.49%,2018
Western Mut Ins Co - 13625,"66,882",0.01%,"68,825","23,819",34.61%,2018
Westport Ins Corp - 39845,"5,124,346",0.55%,"6,082,457","25,641,411",421.56%,2018
XL Ins Amer Inc - 24554,"14,814,370",1.58%,"13,245,082","952,589",7.19%,2018
Zenith Ins Co - 13269,"6,870,528",0.73%,"6,616,457","1,824,687",27.58%,2018
Zurich Amer Ins Co - 16535,"37,043,671",3.94%,"34,010,932","61,392,266",180.51%,2018
Zurich Amer Ins Co Of IL - 27855,"8,276",0.00%,"12,052","2,004",16.63%,2018
Ace Amer Ins Co - 22667,"326,781",0.04%,"315,103","-12,483",-3.96%,2017
Aegis Security Ins Co - 33898,"519,748",0.06%,"204,879","151,538",73.96%,2017
Affiliated Fm Ins Co - 10014,"31,126,743",3.37%,"30,023,468","15,194,413",50.61%,2017
Alaska Natl Ins Co - 38733,"7,351",0.00%,"6,156",459,7.46%,2017
Allianz Global Risks US Ins Co - 35300,"17,900,444",1.94%,"17,139,636","731,555",4.27%,2017
Allianz Underwriters Ins Co - 36420,"63,840",0.01%,"64,284","20,569",32.00%,2017
Allied Prop & Cas Ins Co - 42579,"10,446,226",1.13%,"11,419,162","27,516,358",240.97%,2017
Allied World Assur Co US Inc - 19489,"276,550",0.03%,"284,639","-261,551",-91.89%,2017
Allstate Ins Co - 19232,"8,701",0.00%,"7,944","-6,399",-80.55%,2017
Amco Ins Co - 19100,"35,797,080",3.88%,"38,609,083","50,082,630",129.72%,2017
American Alt Ins Corp - 19720,"593,159",0.06%,"495,320","35,942",7.26%,2017
American Automobile Ins Co - 21849,"586,226",0.06%,"73,278","-68,378",-93.31%,2017
American Cas Co Of Reading PA - 20427,"41,400",0.00%,"46,456","1,489",3.21%,2017
American Economy Ins Co - 19690,"18,324",0.00%,"66,226","-16,570",-25.02%,2017
American Family Home Ins Co - 23450,"29,026",0.00%,"12,101","18,407",152.11%,2017
American Fire & Cas Co - 24066,"18,260",0.00%,"14,313",456,3.19%,2017
American Guar & Liab Ins - 26247,"8,794,806",0.95%,"10,005,326","19,162,833",191.53%,2017
American Home Assur Co - 19380,"33,861,428",3.67%,"24,904,238","5,436,189",21.83%,2017
American Modern Home Ins Co - 23469,"15,881,385",1.72%,"15,869,287","13,834,600",87.18%,2017
American Natl Prop & Cas Co - 28401,"14,130",0.00%,"6,776","2,408",35.54%,2017
American Reliable Ins Co - 19615,"1,242,045",0.13%,"1,250,821","1,043,037",83.39%,2017
American Security Ins Co - 42978,"43,977,605",4.76%,"56,314,358","8,917,054",15.83%,2017
American States Ins Co - 19704,"35,067",0.00%,"70,530","50,390",71.44%,2017
American Zurich Ins Co - 40142,"15,689",0.00%,"37,636","-2,989",-7.94%,2017
Amerisure Mut Ins Co - 23396,"4,372",0.00%,"4,052",-325,-8.02%,2017
Amica Mut Ins Co - 19976,"890,897",0.10%,"873,633","1,227,142",140.46%,2017
Arch Ins Co - 11150,"179,502",0.02%,"196,042","-148,643",-75.82%,2017
Armed Forces Ins Exch - 41459,"297,699",0.03%,"308,975","1,228,454",397.59%,2017
ASI Select Ins Corp - 14042,"434,962",0.05%,"207,915","1,823,805",877.19%,2017
Aspen Amer Ins Co - 43460,"1,881,565",0.20%,"1,828,217","1,103,227",60.34%,2017
Atlantic Specialty Ins Co - 27154,"429,291",0.05%,"511,040","192,152",37.60%,2017
AXA Ins Co - 33022,"3,186,619",0.35%,"3,357,940","481,630",14.34%,2017
Axis Ins Co - 37273,"1,633,808",0.18%,"3,338,236","15,766,939",472.31%,2017
AXIS Reins Co - 20370,"2,961",0.00%,"3,043","-30,945",-1016.92%,2017
Berkley Natl Ins Co - 38911,"67,296",0.01%,"53,525","41,152",76.88%,2017
Berkley Regional Ins Co - 29580,"117,703",0.01%,"126,655","39,424",31.13%,2017
California Capital Ins Co - 13544,"14,968,500",1.62%,"14,750,144","6,003,310",40.70%,2017
California Cas Ind Exch - 20117,"188,836",0.02%,"187,538","55,929",29.82%,2017
California Mut Ins Co - 27480,"168,325",0.02%,"174,480","69,358",39.75%,2017
Capitol Ind Corp - 10472,"13,024",0.00%,"4,388","1,199",27.32%,2017
Century Natl Ins Co - 26905,"5,461,300",0.59%,"5,948,817","3,413,553",57.38%,2017
Church Mut Ins Co - 18767,"136,885",0.01%,"134,294","-446,988",-332.84%,2017
Citizens Ins Co Of Amer - 31534,"237,725",0.03%,"217,177","-8,288",-3.82%,2017
Civic Prop & Cas Co  - 10315,"2,308,553",0.25%,"2,246,995","719,775",32.03%,2017
Civil Serv Employees Ins Co - 10693,"4,111,627",0.45%,"4,243,203","5,260,603",123.98%,2017
Coastal Select Ins Co - 10887,"81,692",0.01%,"85,422","25,514",29.87%,2017
Continental Cas Co - 20443,"6,770,892",0.73%,"6,358,553","60,781,282",955.90%,2017
Continental Ins Co - 35289,"270,912",0.03%,"184,412","-11,891",-6.45%,2017
Crestbrook Ins Co - 18961,"80,947",0.01%,"52,063","20,331",39.05%,2017
Crusader Ins Co - 14010,"71,493",0.01%,"131,704","-13,017",-9.88%,2017
CSAA Fire & Cas Ins Co - 10921,"53,746,966",5.82%,"53,607,755","79,650,405",148.58%,2017
CSAA Ins Exch - 15539,"2,266,747",0.25%,"2,185,059","732,627",33.53%,2017
CSE Safeguard Ins Co - 18953,"28,028,999",3.04%,"24,539,282","11,219,339",45.72%,2017
Diamond State Ins Co - 42048,"20,201",0.00%,"20,269",-227,-1.12%,2017
Dorinco Reins Co - 33499,"1,130,654",0.12%,"1,119,075", -   ,0.00%,2017
Eagle W Ins Co - 12890,"714,040",0.08%,"727,305","623,991",85.79%,2017
Electric Ins Co - 21261,"31,394",0.00%,"30,785", -   ,0.00%,2017
Empire Fire & Marine Ins Co - 21326,"15,552",0.00%,"17,121",109,0.64%,2017
Employers Mut Cas Co - 21415,"1,384,097",0.15%,"1,337,956","973,826",72.78%,2017
Encompass Ins Co - 10358,"5,572,920",0.60%,"5,515,011","2,921,547",52.97%,2017
Everest Natl Ins Co  - 10120,"176,993",0.02%,"186,154","64,705",34.76%,2017
Exact Prop & Cas Co Inc - 10318,"1,745,236",0.19%,"1,763,433","846,056",47.98%,2017
Factory Mut Ins Co - 21482,"20,268,466",2.20%,"22,068,839","58,638,285",265.71%,2017
Farmers Ins Exch - 21652,"10,333,512",1.12%,"10,665,421","5,355,233",50.21%,2017
Farmland Mut Ins Co - 13838,"29,830",0.00%,"1,659","29,252",1763.23%,2017
Federal Ins Co - 20281,"1,802,443",0.20%,"1,624,046","26,718",1.65%,2017
Federated Mut Ins Co - 13935,"3,607,452",0.39%,"3,566,393","1,162,400",32.59%,2017
Federated Rural Electric Ins Exch - 11118,"40,611",0.00%,"40,624","2,605",6.41%,2017
Federated Serv Ins Co - 28304,"658,706",0.07%,"671,842","-35,199",-5.24%,2017
Fidelity & Deposit Co Of MD  - 39306,"7,506,364",0.81%,"7,176,362","4,241,823",59.11%,2017
Financial Pacific Ins Co - 31453,"1,117,443",0.12%,"1,046,842","716,526",68.45%,2017
Fire Ins Exch - 21660,"60,758,477",6.58%,"62,718,933","26,035,715",41.51%,2017
Firemans Fund Ins Co - 21873,"792,035",0.09%,"1,554,118","-373,302",-24.02%,2017
First Amer Prop & Cas Ins Co - 37710,"111,321",0.01%,"111,321","51,303",46.09%,2017
First Amer Specilaty Ins Co - 34525,"24,815,299",2.69%,"24,488,333","16,152,864",65.96%,2017
First Natl Ins Co Of Amer - 24724,"23,513",0.00%,"64,115","-6,102",-9.52%,2017
Florists Mut Ins Co - 13978,"804,793",0.09%,"801,139","299,269",37.36%,2017
Foremost Ins Co Grand Rapids MI - 11185,"31,312,278",3.39%,"28,839,796","35,086,459",121.66%,2017
Freedom Specialty Ins Co - 22209,"9,493",0.00%,"11,157","1,293",11.59%,2017
Garrison Prop & Cas Ins Co - 21253,"1,883,839",0.20%,"1,760,121","1,505,044",85.51%,2017
General Cas Co Of WI - 24414,"134,979",0.01%,"175,166","942,306",537.95%,2017
General Ins Co Of Amer - 24732,"31,348",0.00%,"65,839","26,826",40.74%,2017
General Security Natl Ins Co - 39322,"33,337",0.00%,"15,200","89,994",592.07%,2017
Geovera Ins Co - 10799,"565,237",0.06%,"576,604","169,891",29.46%,2017
Geovera Specialty Ins Co - 10182,212,0.00%,351,106,30.20%,2017
Golden Bear Ins Co - 39861,"1,336,287",0.14%,"1,561,338","250,231",16.03%,2017
Golden Eagle Ins Corp - 10836,"3,541",0.00%,"13,115",-718,-5.47%,2017
Grange Ins Assn - 22101,"612,811",0.07%,"623,663","916,250",146.91%,2017
Granite State Ins Co - 23809,"657,389",0.07%,"684,598","-39,034",-5.70%,2017
Great Amer Alliance Ins Co - 26832,"3,154",0.00%,"3,107","36,963",1189.67%,2017
Great Amer Assur Co - 26344,"48,454",0.01%,"47,353","62,641",132.29%,2017
Great Amer Ins Co - 16691,"246,322",0.03%,"190,419","270,564",142.09%,2017
Great Amer Ins Co of NY - 22136,"1,160,460",0.13%,"1,082,925","552,095",50.98%,2017
Great Divide Ins Co - 25224,"4,649",0.00%,"2,465","-1,792",-72.70%,2017
Great Northern Ins Co - 20303,"74,882",0.01%,"82,398","17,762",21.56%,2017
Greenwich Ins Co - 22322,"984,952",0.11%,"948,032","-281,433",-29.69%,2017
Guideone Mut Ins Co - 15032,"41,196",0.00%,"37,127",-163,-0.44%,2017
Guideone Specialty Mut Ins Co - 14559,"234,280",0.03%,"269,675","422,991",156.85%,2017
Hanover Amer Ins Co - 36064,"129,849",0.01%,"116,244","-24,000",-20.65%,2017
Hanover Ins Co - 22292,"227,160",0.02%,"219,495","-69,768",-31.79%,2017
Harco Natl Ins Co - 26433,"177,912",0.02%,"172,371","-20,846",-12.09%,2017
Harleysville Ins Co - 23582,"1,480",0.00%,500,171,34.20%,2017
Hartford Cas Ins Co - 29424,"148,625",0.02%,"166,265","88,001",52.93%,2017
Hartford Fire Ins Co - 19682,"3,666,370",0.40%,"3,745,828","1,730,809",46.21%,2017
Hartford Underwriters Ins Co - 30104,"1,316,025",0.14%,"1,416,842","338,108",23.86%,2017
HDI Global Ins Co - 41343,"8,912,863",0.97%,"8,429,949","509,064",6.04%,2017
Hiscox Ins Co Inc - 10200,"883,639",0.10%,"612,234","189,640",30.98%,2017
Horace Mann Ins Co - 22578,"595,413",0.06%,"627,708","973,470",155.08%,2017
Horace Mann Prop & Cas Ins Co - 22756,"127,412",0.01%,"132,345","123,665",93.44%,2017
Hudson Ins Co - 25054,"31,897",0.00%,"31,994",-787,-2.46%,2017
Hyundai Marine & Fire Ins Co Ltd - 10048,"3,148",0.00%,"2,535", -   ,0.00%,2017
Imperium Ins Co - 35408,"15,415",0.00%,"15,586", -   ,0.00%,2017
Indemnity Ins Co Of North Amer - 43575,"38,722",0.00%,"38,445",709,1.84%,2017
Insurance Co of N Amer - 22713,"931,884",0.10%,"876,565","420,566",47.98%,2017
Insurance Co Of The State Of PA - 19429,"13,863,765",1.50%,"14,210,241","741,163",5.22%,2017
Integon Natl Ins Co - 29742,"2,008,115",0.22%,"1,563,402","1,217,615",77.88%,2017
Interins Exch Of The Automobile Club - 15598,"21,992,083",2.38%,"22,133,412","12,928,622",58.41%,2017
Kemper Independence Ins Co - 10914,"4,467,734",0.48%,"4,494,779","4,466,039",99.36%,2017
Kookmin Best Ins Co Ltd - 37800,"48,984",0.01%,"136,118","-11,129",-8.18%,2017
Liberty Mut Fire Ins Co - 23035,"20,049,810",2.17%,"21,819,458","15,568,395",71.35%,2017
Liberty Mut Ins Co - 23043,"4,842,802",0.52%,"4,787,699","2,131,404",44.52%,2017
Manufacturers Alliance Ins Co - 36897,"2,424",0.00%,732,"1,805",246.58%,2017
Mapfre Ins Co - 23876,"205,131",0.02%,"269,503","441,848",163.95%,2017
Markel Ins Co - 38970,"9,299",0.00%,"7,870",136,1.73%,2017
Massachusetts Bay Ins Co - 22306,"155,660",0.02%,"160,177","-54,156",-33.81%,2017
Mercury Cas Co - 11908,"14,745,650",1.60%,"14,812,557","7,783,632",52.55%,2017
Metropolitan Drt Prop & Cas Ins Co - 25321,"117,937",0.01%,"110,987","33,968",30.61%,2017
Mid Century Ins Co - 21687,"3,854",0.00%,"4,228",-90,-2.13%,2017
Middlesex Ins Co - 23434,"2,386",0.00%,"1,592",-188,-11.81%,2017
Mitsui Sumitomo Ins Co of Amer - 20362,"426,258",0.05%,"375,220","153,813",40.99%,2017
Mitsui Sumitomo Ins USA Inc - 22551,"43,906",0.00%,"50,057","-3,737",-7.47%,2017
Monterey Ins Co - 23540,"43,641",0.00%,"46,153","14,690",31.83%,2017
National Cas Co - 11991,61,0.00%,78,75,96.15%,2017
National Fire Ins Co Of Hartford - 20478,"23,028",0.00%,"12,879","3,062",23.78%,2017
National Gen Premier Ins Co - 12832,"23,093",0.00%,"25,175","17,769",70.58%,2017
National Interstate Ins Co - 32620,"6,552",0.00%,"5,174", -   ,0.00%,2017
National Union Fire Ins Co Of Pitts - 19445,"6,786,103",0.74%,"6,447,789","482,113",7.48%,2017
Nationwide Agribusiness Ins Co - 28223,"2,062,931",0.22%,"2,021,712","1,194,338",59.08%,2017
Nationwide Ins Co Of Amer - 25453,"3,637,080",0.39%,"3,683,698","2,281,747",61.94%,2017
Nationwide Mut Fire Ins Co - 23779,"239,003",0.03%,"245,384","396,722",161.67%,2017
Nationwide Mut Ins Co - 23787,"6,452,884",0.70%,"6,468,742","7,685,749",118.81%,2017
Neighborhood Spirit Prop & Cas Co - 10317,"8,416,972",0.91%,"8,459,796","1,183,921",13.99%,2017
Netherlands Ins Co The - 24171,"5,603",0.00%,"5,657",-27,-0.48%,2017
